Card Name,Condition,Printing,Set,Box Name
Charizard (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Blastoise (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Venusaur (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Mewtwo (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Alakazam (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Poliwrath (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Raichu (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Hitmonchan (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Nidoking (1st Edition Shadowless),Holofoil,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Clefairy Doll (1st Edition Shadowless),Normal,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Scoop Up (1st Edition Shadowless),Normal,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Pokémon Trader (1st Edition Shadowless),Normal,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Item Finder (1st Edition Shadowless),Normal,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Pokémon Breeder (1st Edition Shadowless),Normal,Lightly Played+,BASE1: Base,1st Edition Base Set Rares!
Umbreon VMAX,Holofoil,Lightly Played+,SWSH7: Evolving Skies,Maximum VMAX
Rayquaza VMAX,Holofoil,Lightly Played+,SWSH7: Evolving Skies,Maximum VMAX
Charizard VMAX,Holofoil,Lightly Played+,SWSH35: Champion's Path,Maximum VMAX
Gengar VMAX,Holofoil,Lightly Played+,SWSH8: Fusion Strike,Maximum VMAX
Blaziken VMAX,Holofoil,Lightly Played+,SWSH6: Chilling Reign,Maximum VMAX
Leafeon VMAX,Holofoil,Lightly Played+,SWSH7: Evolving Skies,Maximum VMAX
Glaceon VMAX,Holofoil,Lightly Played+,SWSH7: Evolving Skies,Maximum VMAX
Sylveon VMAX,Holofoil,Lightly Played+,SWSH7: Evolving Skies,Maximum VMAX
Espeon VMAX,Holofoil,Lightly Played+,SWSH8: Fusion Strike,Maximum VMAX
